state,date,predicted,yhat_lower,yhat_upper
Alabama,2023-03-24,0.00,0.00,223.49
Alabama,2023-03-25,0.00,0.00,-106.73
Alabama,2023-03-26,0.00,0.00,248.05
Alabama,2023-03-27,0.00,0.00,246.11
Alabama,2023-03-28,0.00,0.00,-122.62
Alabama,2023-03-29,0.00,0.00,-90.47
Alabama,2023-03-30,0.00,0.00,-253.15
Alabama,2023-03-31,0.00,0.00,-127.24
Alabama,2023-04-01,0.00,0.00,-355.90
Alabama,2023-04-02,0.00,0.00,19.58
Alabama,2023-04-03,0.00,0.00,-383.14
Alabama,2023-04-04,0.00,0.00,-236.30
Alabama,2023-04-05,0.00,0.00,-57.61
Alabama,2023-04-06,0.00,0.00,22.21
Alabama,2023-04-07,0.00,0.00,-192.63
Alabama,2023-04-08,0.00,0.00,-352.26
Alabama,2023-04-09,0.00,0.00,-232.92
Alabama,2023-04-10,0.00,0.00,-483.15
Alabama,2023-04-11,0.00,0.00,-375.44
Alabama,2023-04-12,0.00,0.00,-422.28
Alabama,2023-04-13,0.00,0.00,-527.19
Alabama,2023-04-14,0.00,0.00,-323.38
Alabama,2023-04-15,0.00,0.00,-339.38
Alabama,2023-04-16,0.00,0.00,-449.06
Alabama,2023-04-17,0.00,0.00,-374.18
Alabama,2023-04-18,0.00,0.00,-326.46
Alabama,2023-04-19,0.00,0.00,-184.63
Alabama,2023-04-20,0.00,0.00,-367.60
Alabama,2023-04-21,0.00,0.00,-281.65
Alabama,2023-04-22,0.00,0.00,-535.77
Alabama,2023-04-23,0.00,0.00,-276.35
Alabama,2023-04-24,0.00,0.00,-423.37
Alabama,2023-04-25,0.00,0.00,-562.30
Alabama,2023-04-26,0.00,0.00,-621.21
Alabama,2023-04-27,0.00,0.00,-343.36
Alabama,2023-04-28,0.00,0.00,-326.43
Alabama,2023-04-29,0.00,0.00,-435.93
Alabama,2023-04-30,0.00,0.00,-253.63
Alabama,2023-05-01,0.00,0.00,-157.48
Alabama,2023-05-02,0.00,0.00,-132.98
Alabama,2023-05-03,0.00,0.00,-374.16
Alabama,2023-05-04,0.00,0.00,-271.18
Alabama,2023-05-05,0.00,0.00,-138.86
Alabama,2023-05-06,0.00,0.00,-481.65
Alabama,2023-05-07,0.00,0.00,-403.78
Alabama,2023-05-08,0.00,0.00,-388.32
Alabama,2023-05-09,0.00,0.00,-294.07
Alabama,2023-05-10,0.00,0.00,-446.75
Alabama,2023-05-11,0.00,0.00,-529.36
Alabama,2023-05-12,0.00,0.00,-427.89
Alabama,2023-05-13,0.00,0.00,-400.02
Alabama,2023-05-14,0.00,0.00,-270.98
Alabama,2023-05-15,0.00,0.00,-353.64
Alabama,2023-05-16,0.00,0.00,-342.65
Alabama,2023-05-17,0.00,0.00,-111.67
Alabama,2023-05-18,0.00,0.00,-315.48
Alabama,2023-05-19,0.00,0.00,-413.92
